rank,movie_name,release_year,audience_rating,gross_earnings,director(s)
650,Knight and Day,2010,PG-13,261989769,James Mangold
651,A Quiet Place: Day One,2024,PG-13,261786322,Michael Sarnoski
652,Taylor Swift: The Eras Tour,2023,PG-13,261656269,Sam Wrench
653,Total Recall,1990,R,261317921,Paul Verhoeven
654,Encanto,2021,PG,261152489,"Jared Bush, Byron Howard, Charise Castro Smith"
655,Terminator: Dark Fate,2019,R,261119292,Tim Miller
656,The Lone Ranger,2013,PG-13,260502115,Gore Verbinski
657,Super 8,2011,PG-13,260095986,J.J. Abrams
658,Halloween,2018,R,259939869,David Gordon Green
659,Mojin: The Lost Legend,2015,Not Rated,259368448,Wuershan
660,Charlie's Angels: Full Throttle,2003,PG-13,259175788,McG
661,Rush Hour 3,2007,PG-13,258097122,Brett Ratner
662,The Full Monty,1997,R,257938649,Peter Cattaneo
663,Kung Fu Yoga,2017,Not Rated,257753889,Stanley Tong
664,Annabelle,2014,R,257589952,John R. Leonetti
665,The Garfield Movie,2024,PG,257211519,Mark Dindal
666,The Village,2004,PG-13,256697520,M. Night Shyamalan
667,Lost in Hong Kong,2015,Not Rated,256283912,Zheng Xu
668,Erin Brockovich,2000,R,256271286,Steven Soderbergh
669,Us,2019,R,256071218,Jordan Peele
670,Pegasus,2019,Not Rated,255863112,Han Han
671,Get Out,2017,R,255751443,Jordan Peele
672,Marley & Me,2008,PG,255743968,David Frankel
673,Cliffhanger,1993,R,255000211,Renny Harlin
674,Wish,2023,PG,254997360,"Chris Buck, Fawn Veerasunthorn"
675,Baahubali 2: The Conclusion,2017,Not Rated,254158390,S.S. Rajamouli
676,Babe,1995,G,254134910,Chris Noonan
677,Men in Black: International,2019,PG-13,253890701,F. Gary Gray
678,Wild Hogs,2007,PG-13,253625427,Walt Becker
679,High School Musical 3: Senior Year,2008,G,252909177,Kenny Ortega
680,Hercules,1997,G,252712101,"Ron Clements, John Musker"
681,X-Men: Dark Phoenix,2019,PG-13,252442974,Simon Kinberg
682,True Grit,2010,PG-13,252278285,"Ethan Coen, Joel Coen"
683,Dolittle,2020,PG,251410631,Stephen Gaghan
684,Bean,1997,PG-13,251212670,Mel Smith
685,American Hustle,2013,R,251171807,David O. Russell
686,Enemy of the State,1998,R,250849789,Tony Scott
687,You've Got Mail,1998,PG,250821575,Nora Ephron
688,Sound of Freedom,2023,PG-13,250570396,Alejandro Monteverde
689,Eragon,2006,PG,250425512,Stefen Fangmeier
690,Brother Bear,2003,G,250397798,"Aaron Blaise, Robert Walker"
691,The Bad Guys,2022,PG,250387888,Pierre Perifel
692,The Godfather,1972,R,250342198,Francis Ford Coppola
693,The Mask of Zorro,1998,PG-13,250288523,Martin Campbell
694,Love Actually,2003,R,250215630,Richard Curtis
695,The Ring,2002,PG-13,249348933,Gore Verbinski
696,The Blair Witch Project,1999,R,248639099,"Daniel Myrick, Eduardo Sánchez"
697,Unbreakable,2000,PG-13,248118121,M. Night Shyamalan
698,Journey to the West: The Demons Strike Back,2017,PG-13,247585244,Hark Tsui
699,Dumb and Dumber,1994,PG-13,247290327,"Peter Farrelly, Bobby Farrelly"
700,Glass,2019,PG-13,246999039,M. Night Shyamalan
701,Grown Ups 2,2013,PG-13,246984278,Dennis Dugan
702,The Peanuts Movie,2015,G,246233113,Steve Martino
703,Rango,2011,PG,245724603,Gore Verbinski
704,Four Weddings and a Funeral,1994,R,245700832,Mike Newell
705,Face/Off,1997,R,245676146,John Woo
706,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,PG-13,245623848,Dave Green
707,Dark Shadows,2012,PG-13,245527149,Tim Burton
708,Hulk,2003,PG-13,245285165,Ang Lee
709,The Bravest,2019,PG-13,245179562,Tony Chan
710,Welcome to the Sticks,2008,Not Rated,245144417,Dany Boon
711,Back to the Future Part III,1990,PG,245077583,Robert Zemeckis
712,Pixels,2015,PG-13,244874809,Chris Columbus
713,Hercules,2014,PG-13,244819862,Brett Ratner
714,Rush Hour,1998,PG-13,244721064,Brett Ratner
715,Journey to the Center of the Earth,2008,PG,244232688,Eric Brevig
716,Sully,2016,PG-13,243870033,Clint Eastwood
717,After Earth,2013,PG-13,243611982,M. Night Shyamalan
718,A Few Good Men,1992,R,243240178,Rob Reiner
719,Cloudy with a Chance of Meatballs,2009,PG,243006136,"Phil Lord, Christopher Miller"
720,8 Mile,2002,R,242875078,Curtis Hanson
721,Daddy's Home,2015,PG-13,242786137,Sean Anders
722,RoboCop,2014,PG-13,242688965,José Padilha
723,Eraser,1996,R,242295562,Chuck Russell
724,Alien: Covenant,2017,R,240892187,Ridley Scott
725,Assassin's Creed,2016,PG-13,240697856,Justin Kurzel
726,Click,2006,PG-13,240685326,Frank Coraci
727,Jiang Ziya,2020,TV-PG,240646355,"Teng Cheng, Li Wei"
728,Howl's Moving Castle,2004,PG,240420227,Hayao Miyazaki
729,Planes,2013,PG,240171783,Klay Hall
730,Resident Evil: Retribution,2012,R,240159255,Paul W.S. Anderson
731,Die Hard 2,1990,R,240031274,Renny Harlin
732,Crocodile Dundee II,1988,PG,239606210,John Cornell
733,Crazy Rich Asians,2018,PG-13,239343729,Jon M. Chu
734,Bullet Train,2022,R,239268602,David Leitch
735,Batman & Robin,1997,PG-13,238259753,Joel Schumacher
736,Gulliver's Travels,2010,PG,237382724,Rob Letterman
737,Gone in 60 Seconds,2000,PG-13,237202299,Dominic Sena
738,Green Lantern,2011,PG-13,237201172,Martin Campbell
739,Saturday Night Fever,1977,R,237113184,John Badham
740,Silver Linings Playbook,2012,R,236412453,David O. Russell
741,2 Fast 2 Furious,2003,PG-13,236353236,John Singleton
742,Hidden Figures,2016,PG,235957472,Theodore Melfi
743,A.I. Artificial Intelligence,2001,PG-13,235926635,Steven Spielberg
744,Dead Poets Society,1989,PG,235860116,Peter Weir
745,Spy,2015,R,235666219,Paul Feig
746,American Pie,1999,R,235483004,"Paul Weitz, Chris Weitz"
747,American Reunion,2012,R,234989584,"Jon Hurwitz, Hayden Schlossberg"
748,Big Daddy,1999,PG-13,234801895,Dennis Dugan
749,Alvin and the Chipmunks: The Road Chip,2015,PG,234798636,Walt Becker
750,The Imitation Game,2014,PG-13,233555708,Morten Tyldum
751,Cruella,2021,PG-13,233503234,Craig Gillespie
752,The Day the Earth Stood Still,2008,PG-13,233093859,Scott Derrickson
753,American Wedding,2003,R,232722935,Jesse Dylan
754,The Girl with the Dragon Tattoo,2011,R,232617430,David Fincher
755,Juno,2007,PG-13,232372830,Jason Reitman
756,Argo,2012,R,232325503,Ben Affleck
757,Mr. Bean's Holiday,2007,G,232225908,Steve Bendelack
758,The English Patient,1996,R,231976425,Anthony Minghella
759,Sister Act,1992,PG,231605150,Emile Ardolino
760,Annabelle Comes Home,2019,R,231252591,Gary Dauberman
761,Constantine,2005,R,230884728,Francis Lawrence
762,Get Smart,2008,PG-13,230685453,Peter Segal
763,Space Jam,1996,PG,230594962,Joe Pytka
764,Life Is Beautiful,1997,PG-13,230099013,Roberto Benigni
765,The Heat,2013,R,229930771,Paul Feig
766,Ghostbusters,2016,PG-13,229147509,Paul Feig
767,Elf,2003,PG,228936304,Jon Favreau
768,Ghost Rider,2007,PG-13,228738393,Mark Steven Johnson
769,Goodbye Mr. Loser,2015,Not Rated,228122928,"Da-Mo Peng, Fei Yan"
770,Sleepless in Seattle,1993,PG,227927165,Nora Ephron
771,Lethal Weapon 2,1989,R,227853986,Richard Donner
772,The Green Hornet,2011,PG-13,227817248,Michel Gondry
773,Out of Africa,1985,PG,227514205,Sydney Pollack
774,Better Days,2019,Not Rated,227313644,Derek Tsang
775,Paddington 2,2017,PG,227309407,Paul King
776,Youth,2017,Not Rated,227091290,Xiaogang Feng
777,Baby Driver,2017,R,226945087,Edgar Wright
778,Immortals,2011,R,226904017,Tarsem Singh
779,Taken,2008,PG-13,226837760,Pierre Morel
780,Percy Jackson & the Olympians: The Lightning Thief,2010,PG,226497209,Chris Columbus
781,Lightyear,2022,PG,226425420,Angus MacLane
782,Hansel & Gretel: Witch Hunters,2013,R,226349749,Tommy Wirkola
783,Valerian and the City of a Thousand Planets,2017,PG-13,225973340,Luc Besson
784,Good Will Hunting,1997,R,225933435,Gus Van Sant
785,Ford v Ferrari,2019,PG-13,225508210,James Mangold
786,Jumper,2008,PG-13,225132113,Doug Liman
787,The Social Network,2010,PG-13,224927749,David Fincher
788,Chicken Run,2000,G,224888359,"Peter Lord, Nick Park"
789,Con Air,1997,R,224012234,Simon West
790,Interview with the Vampire,1994,R,223664608,Neil Jordan
791,Flightplan,2005,PG-13,223387299,Robert Schwentke
792,Yes Man,2008,PG-13,223241637,Peyton Reed
793,Non-Stop,2014,PG-13,222809600,Jaume Collet-Serra
794,"Honey, I Shrunk the Kids",1989,PG,222724172,Joe Johnston
795,Fahrenheit 9/11,2004,R,222446882,Michael Moore
796,Wild Wild West,1999,PG-13,222104681,Barry Sonnenfeld
797,Geostorm,2017,PG-13,221900160,Dean Devlin
798,"My Country, My Parents",2021,Not Rated,221831086,"Teng Shen, Jing Wu, Zheng Xu"
799,The Help,2011,PG-13,221802186,Tate Taylor
800,Napoleon,2023,R,221394838,Ridley Scott
801,Presumed Innocent,1990,R,221303188,Alan J. Pakula
802,Jungle Cruise,2021,PG-13,220889446,Jaume Collet-Serra
803,Scary Movie 3,2003,PG-13,220673217,David Zucker
804,Anyone But You,2023,R,220242225,Will Gluck
805,Collateral,2004,R,220239925,Michael Mann
806,Inferno,2016,PG-13,220021259,Ron Howard
807,Knocked Up,2007,R,219922417,Judd Apatow
808,What Happens in Vegas,2008,PG-13,219375562,Tom Vaughan
809,It's Complicated,2009,R,219103655,Nancy Meyers
810,The Terminal,2004,PG-13,219100084,Steven Spielberg
811,Little Women,2019,PG,218843645,Greta Gerwig
812,Captain Phillips,2013,PG-13,218791811,Paul Greengrass
813,The Prince of Egypt,1998,PG,218613188,"Brenda Chapman, Steve Hickner, Simon Wells"
814,Jack Reacher,2012,PG-13,218340595,Christopher McQuarrie
815,Kingdom of Heaven,2005,R,218237071,Ridley Scott
816,Smallfoot,2018,PG,218015531,"Karey Kirkpatrick, Jason Reisig"
817,The Emoji Movie,2017,PG,217776646,Tony Leondis
818,Smile,2022,R,217408513,Parker Finn
819,Too Cool to Kill,2022,Not Rated,217254604,"Wenxiong Xing, Ru Qian"
820,Dracula Untold,2014,PG-13,217124280,Gary Shore
821,Central Intelligence,2016,PG-13,216940871,Rawson Marshall Thurber
822,Million Dollar Baby,2004,PG-13,216763646,Clint Eastwood
823,Twins,1988,PG,216614388,Ivan Reitman
824,Valentine's Day,2010,PG-13,216528528,Garry Marshall
825,Superman II,1980,PG,216385706,"Richard Lester, Richard Donner"
826,Bad Teacher,2011,R,216197492,Jake Kasdan
827,A Little Red Flower,2020,Not Rated,216000000,Yan Han
828,The Croods: A New Age,2020,PG,215905815,Joel Crawford
829,Clear and Present Danger,1994,PG-13,215887717,Phillip Noyce
830,One Hundred and One Dalmatians,1961,G,215880014,"Clyde Geronimi, Hamilton Luske, Wolfgang Reitherman"
831,Ted 2,2015,R,215863606,Seth MacFarlane
832,Bram Stoker's Dracula,1992,R,215862692,Francis Ford Coppola
833,Vertical Limit,2000,PG-13,215663859,Martin Campbell
834,Ghostbusters II,1989,PG,215394738,Ivan Reitman
835,The Patriot,2000,R,215294342,Roland Emmerich
836,The Sorcerer's Apprentice,2010,PG,215283742,Jon Turteltaub
837,Just Go with It,2011,PG-13,214945591,Dennis Dugan
838,The Expendables 3,2014,PG-13,214657577,Patrick Hughes
839,Dirty Dancing,1987,PG-13,214577242,Emile Ardolino
840,Creed II,2018,PG-13,214215889,Steven Caple Jr.
841,Public Enemies,2009,R,214104620,Michael Mann
842,The Bourne Identity,2002,PG-13,214034224,Doug Liman
843,Disclosure,1994,R,214015089,Barry Levinson
844,"Crouching Tiger, Hidden Dragon",2000,PG-13,213978518,Ang Lee
845,Pulp Fiction,1994,R,213928762,Quentin Tarantino
846,The Aviator,2004,PG-13,213719942,Martin Scorsese
847,Braveheart,1995,R,213216216,Mel Gibson
848,Into the Woods,2014,PG,212902959,Rob Marshall
849,Bedtime Stories,2008,PG,212874864,Adam Shankman
850,Miss Congeniality,2000,PG-13,212742720,Donald Petrie
851,Entrapment,1999,PG-13,212404396,Jon Amiel
852,Ace Ventura: When Nature Calls,1995,PG-13,212385533,Steve Oedekerk
853,End of Days,1999,R,211989043,Peter Hyams
854,Bridget Jones's Baby,2016,R,211952420,Sharon Maguire
855,Fury,2014,R,211822697,David Ayer
856,Battle Los Angeles,2011,PG-13,211819354,Jonathan Liebesman
857,Australia,2008,PG-13,211788761,Baz Luhrmann
858,Due Date,2010,R,211780824,Todd Phillips
859,Master and Commander: The Far Side of the World,2003,PG-13,211622535,Peter Weir
860,A Series of Unfortunate Events,2004,PG,211468235,Brad Silberling
861,The Little Mermaid,1989,G,211343479,"Ron Clements, John Musker"
862,Nice View,2022,Not Rated,211019042,Muye Wen
863,District 9,2009,R,210888950,Neill Blomkamp
864,Moonraker,1979,PG,210308099,Lewis Gilbert
865,The Others,2001,PG-13,210002906,Alejandro Amenábar
866,Horrible Bosses,2011,R,209838559,Seth Gordon
867,Trolls Band Together,2023,PG,209372575,"Walt Dohrn, Tim Heitz"
868,Us and Them,2018,Not Rated,209221380,Rene Liu
869,Red Dragon,2002,R,209196298,Brett Ratner
870,Tomorrowland,2015,PG,209035668,Brad Bird
871,Arrival,2016,PG-13,208944807,Denis Villeneuve
872,Me Before You,2016,PG-13,208445075,Thea Sharrock
873,Safe House,2012,R,208076205,Daniel Espinosa
874,S.W.A.T.,2003,PG-13,207725639,Clark Johnson
875,DC League of Super-Pets,2022,PG,207557117,"Jared Stern, Sam J. Levine"
876,The Fast and the Furious,2001,PG-13,207517995,Rob Cohen
877,Traffic,2000,R,207515725,Steven Soderbergh
878,Paranormal Activity 3,2011,R,207039844,"Henry Joost, Ariel Schulman"
879,Philadelphia,1993,PG-13,206678440,Jonathan Demme
880,The Conjuring: The Devil Made Me Do It,2021,R,206431050,Michael Chaves
881,The Marvels,2023,PG-13,206136825,Nia DaCosta
882,Sleepy Hollow,1999,R,206071526,Tim Burton
883,Ponyo,2008,G,205916673,Hayao Miyazaki
884,The Holiday,2006,PG-13,205891960,Nancy Meyers
885,The Jungle Book,1967,Approved,205843612,Wolfgang Reitherman
886,Raging Fire,2021,Not Rated,205842393,"Benny Chan, Shane Comley-White"
887,London Has Fallen,2016,R,205754447,Babak Najafi
888,The Break-Up,2006,PG-13,205668210,Peyton Reed
889,Journey to the West: Conquering the Demons,2013,PG-13,205637183,"Stephen Chow, Chi-Kin Kwok"
890,The Ugly Truth,2009,R,205599393,Robert Luketic
891,Birds of Prey,2020,R,205537933,Cathy Yan
892,JFK,1991,R,205405498,Oliver Stone
893,White House Down,2013,PG-13,205366737,Roland Emmerich
894,Dungeons & Dragons: Honor Among Thieves,2023,PG-13,205187763,"John Francis Daley, Jonathan Goldstein"
895,A Dog's Purpose,2017,PG,205035819,Lasse Hallström
896,PAW Patrol: The Mighty Movie,2023,PG,204986920,Cal Brunker
897,Fun with Dick and Jane,2005,PG-13,204681899,Dean Parisot
898,Eat Pray Love,2010,PG-13,204596571,Ryan Murphy
899,The Addams Family,2019,PG,204394183,"Greg Tiernan, Conrad Vernon"
900,Ghostbusters: Afterlife,2021,PG-13,204334455,Jason Reitman
901,You Don't Mess with the Zohan,2008,PG-13,204313400,Dennis Dugan
902,Hairspray,2007,PG,203630031,Adam Shankman
903,King Arthur,2004,PG-13,203567857,Antoine Fuqua
904,Yogi Bear,2010,PG,203509374,Eric Brevig
905,Everest,2015,PG-13,203427584,Baltasar Kormákur
906,Vanilla Sky,2001,R,203388341,Cameron Crowe
907,Need for Speed,2014,PG-13,203277636,Scott Waugh
908,Garfield: The Movie,2004,PG,203172417,Peter Hewitt
909,Patch Adams,1998,PG-13,202292902,Tom Shadyac
910,Teenage Mutant Ninja Turtles,1990,PG,202084756,Steve Barron
911,Kindergarten Cop,1990,PG-13,201957688,Ivan Reitman
912,Ghostbusters: Frozen Empire,2024,PG-13,201856657,Gil Kenan
913,Straight Outta Compton,2015,R,201634991,F. Gary Gray
914,21 Jump Street,2012,R,201585556,"Phil Lord, Christopher Miller"
915,Valkyrie,2008,PG-13,201545517,Bryan Singer
916,Open Season,2006,PG,200811689,"Roger Allers, Jill Culton, Anthony Stacchi"
917,Cats & Dogs,2001,PG,200687492,Lawrence Guterman
918,The Hunt for Red October,1990,PG,200512643,John McTiernan
919,Percy Jackson: Sea of Monsters,2013,PG,199850315,Thor Freudenthal
920,The Lego Movie 2: The Second Part,2019,PG,199603202,Mike Mitchell
921,Two Weeks Notice,2002,PG-13,199043471,Marc Lawrence
922,RED,2010,PG-13,199006387,Robert Schwentke
923,Shock Wave 2,2020,Not Rated,198921659,"Herman Yau, Shane Comley-White"
924,City of Angels,1998,PG-13,198685114,Brad Silberling
925,The Pacifier,2005,PG,198636868,Adam Shankman
926,50 First Dates,2004,PG-13,198520934,Peter Segal
927,Total Recall,2012,PG-13,198467607,Len Wiseman
928,The Island,2018,Not Rated,198326350,Huang Bo
929,The Impossible,2012,PG-13,198087212,J.A. Bayona
930,Lost in Thailand,2012,Not Rated,197757387,Zheng Xu
931,Christopher Robin,2018,PG,197744825,Marc Forster
932,Jack the Giant Slayer,2013,PG-13,197687603,Bryan Singer
933,Smurfs: The Lost Village,2017,PG,197183546,Kelly Asbury
934,Chinese Doctors,2021,Not Rated,197143218,Wai Keung Lau
935,Spy Kids 3: Game Over,2003,PG,197101678,Robert Rodriguez
936,Panic Room,2002,R,197079546,David Fincher
937,The Other Woman,2014,PG-13,196710396,Nick Cassavetes
938,Stargate,1994,PG-13,196567262,Roland Emmerich
939,Beowulf,2007,PG-13,196393745,Robert Zemeckis
940,The Vow,2012,PG-13,196114570,Michael Sucsy
941,Anger Management,2003,PG-13,195745823,Peter Segal
942,Tropic Thunder,2008,R,195703351,Ben Stiller
943,Rocketman,2019,R,195320400,Dexter Fletcher
944,The Pelican Brief,1993,PG-13,195268056,Alan J. Pakula
945,The Shape of Water,2017,R,195243464,Guillermo del Toro
946,The BFG,2016,PG,195243411,Steven Spielberg
947,The Intern,2015,PG-13,194764672,Nancy Meyers
948,Downton Abbey,2019,PG,194694725,Michael Engler
949,Gnomeo & Juliet,2011,G,193967670,Kelly Asbury
950,The Sum of All Fears,2002,PG-13,193921372,Phil Alden Robinson
951,Gangs of New York,2002,R,193772504,Martin Scorsese
952,The Post,2017,PG-13,193764664,Steven Spielberg
953,The Monkey King 2,2016,Not Rated,193678298,Soi Cheang
954,Paranormal Activity,2007,R,193355933,Oren Peli
955,The Lost City,2022,PG-13,192907684,"Aaron Nee, Adam Nee"
956,Wallace & Gromit: The Curse of the Were-Rabbit,2005,G,192705291,"Steve Box, Nick Park"
957,The Equalizer,2014,R,192330738,Antoine Fuqua
958,Weathering with You,2019,PG-13,192011547,Makoto Shinkai
959,Sheep Without a Shepherd,2019,Not Rated,191602146,Sam Quah
960,The Addams Family,1991,PG-13,191502426,Barry Sonnenfeld
961,The Longest Yard,2005,PG-13,191466556,Peter Segal
962,The Equalizer 3,2023,R,191067560,Antoine Fuqua
963,The Santa Clause,1994,PG,190539357,John Pasquin
964,Cheaper by the Dozen,2003,PG,190538630,Shawn Levy
965,The Equalizer 2,2018,R,190400157,Antoine Fuqua
966,IF,2024,PG,190309707,John Krasinski
967,Abominable,2019,PG,190304772,"Jill Culton, Todd Wilderman"
968,Hollow Man,2000,R,190213455,Paul Verhoeven
969,Outbreak,1995,R,189859560,Wolfgang Petersen
970,The White Storm 2: Drug Lords,2019,Not Rated,189396380,Herman Yau
971,The X Files,1998,PG-13,189176423,Rob Bowman
972,Insidious: The Red Door,2023,PG-13,189086877,Patrick Wilson
973,Breakup Buddies,2014,Not Rated,189017596,Hao Ning
974,Rambo III,1988,R,189015611,Peter MacDonald
975,The Secret Life of Walter Mitty,2013,PG,188133322,Ben Stiller
976,Project Gutenberg,2018,Not Rated,188116796,Felix Chong
977,Jaws 2,1978,PG,187884007,Jeannot Szwarc
978,12 Years a Slave,2013,R,187734091,Steve McQueen
979,Heat,1995,R,187436818,Michael Mann
980,Mr. Popper's Penguins,2011,PG,187361754,Mark Waters
981,The Grudge,2004,PG-13,187281115,Takashi Shimizu
982,I Now Pronounce You Chuck & Larry,2007,PG-13,187134117,Dennis Dugan
983,The Horse Whisperer,1998,PG-13,186883563,Robert Redford
984,Walk the Line,2005,PG-13,186797986,James Mangold
985,Jian Bing Man,2015,Not Rated,186699768,Da Peng
986,The Jungle Book 2,2003,G,186303759,Steve Trenbirth
987,The Final Destination,2009,R,186167139,David R. Ellis
988,Atlantis: The Lost Empire,2001,PG,186053725,"Gary Trousdale, Kirk Wise"
989,Inside Man,2006,R,186003591,Spike Lee
990,The Waterboy,1998,PG-13,185991646,Frank Coraci
991,Hugo,2011,PG,185770310,Martin Scorsese
992,Coraline,2009,PG,185768322,Henry Selick
993,Pitch Perfect 3,2017,PG-13,185400345,Trish Sie
994,Watchmen,2009,R,185382813,Zack Snyder
995,The Birdcage,1996,R,185260553,Mike Nichols
996,Snow White and the Seven Dwarfs,1937,Approved,184960747,"William Cottrell, David Hand, Wilfred Jackson"
997,Moulin Rouge!,2001,PG-13,184935252,Baz Luhrmann
998,Ode to My Father,2014,Not Rated,184827559,JK Youn
999,Hop,2011,PG,184367665,Tim Hill
1000,Jupiter Ascending,2015,PG-13,184287723,"Lana Wachowski, Lilly Wachowski"
